"address","location/lat","location/lng","name","numberOfGuests","pricing/nights","pricing/rate/amount","pricing/rate/amountFormatted","pricing/rate/currency","pricing/rate/isMicrosAccuracy","pricing/rateType","pricing/totalPrice/accommodation","pricing/totalPrice/amount","pricing/totalPrice/amountFormatted","pricing/totalPrice/cleaningFee","pricing/totalPrice/currency","pricing/totalPrice/guestFee","roomType","stars","url"
"Saint-Cloud, Île-de-France, France","48.845","2.216","View Eiffel.9k de l’étoile.10€ uber.pisine.92e","2","1","329","$329","USD","false","nightly","278","329","$329","10","USD","41","Room in bed and breakfast","4.5","https://www.airbnb.com/rooms/27213718"
"Paris, Île-de-France, France","48.87077","2.32249","Hôtel Vendôme Opéra****Chambre Supérieure Twin","2","1","425","$425","USD","false","nightly","425","425","$425",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/46327137"
"Paris, Île-de-France, France","48.86579","2.3361","Hôtel Washington Opera**** Double Supérieure","2","1","433","$433","USD","false","nightly","433","433","$433",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/46346148"
"Paris, Île-de-France, France","48.876","2.346","★ Beautiful Deluxe room in a 4 star hotel","2","1","369","$369","USD","false","nightly","369","369","$369",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/51005372"
"Paris, France","48.838","2.346","GORGEOUS Classic Double Room in the Latin Quarter","2","1","279","$279","USD","false","nightly","279","279","$279",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/50145922"
"9th District, Paris, Paris, France","48.8823","2.32766","Trocadéro Room - Jacuzzi Bathtub","2","1","491","$491","USD","false","nightly","491","491","$491",,"USD",,"Room in hotel",,"https://www.airbnb.com/rooms/24640236"
"Paris, Île-de-France, France","48.86972","2.36351","Paris: chambre quadruple","4","1","297","$297","USD","false","nightly","297","297","$297",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/45097423"
"Paris, Île-de-France, France","48.858","2.346","Chambre Classique Eiffel","2","1","378","$378","USD","false","nightly","378","378","$378",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/41227853"
"Paris, Île-de-France, France","48.86528","2.33828","Hôtel Washington Opera****Chambre Twin Deluxe","2","1","458","$458","USD","false","nightly","458","458","$458",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/46346313"
"Paris, Île-de-France, France","48.84109","2.3308","Balneo room with Chromotherapy Bath","2","1","350","$350","USD","false","nightly","350","350","$350",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/43905057"
"Paris, Île-de-France, France","48.84689","2.39498","Private Dorm for 4 - Shared bathroom in Paris","4","1","359","$359","USD","false","nightly","359","359","$359",,"USD","0","Private room in hostel","5","https://www.airbnb.com/rooms/49722310"
"Paris, Île-de-France, France","48.824","2.327","★ Spacious family room","4","1","283","$283","USD","false","nightly","283","283","$283",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/53232698"
"Paris, Île-de-France, France","48.8657","2.33565","Chambre double proche du Louvre","2","1","435","$435","USD","false","nightly","435","435","$435",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35437502"
"Paris, Île-de-France, France","48.859","2.354","★ Beautiful Superior room ideally located","2","1","329","$329","USD","false","nightly","329","329","$329",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/53472699"
"Paris, Île-de-France, France","48.87586","2.32659","Chambre Supérieure, Hôtel Phileas Lazare &Spa ****","2","1","356","$356","USD","false","nightly","356","356","$356",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/42830589"
"Paris, Île-de-France, France","48.854","2.308","Chambre Prestige","2","1","389","$389","USD","false","nightly","389","389","$389",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35157595"
"Paris, Île-de-France, France","48.86877","2.34865","Your cocoon in the center of Paris","2","1","320","$320","USD","false","nightly","320","320","$320",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/45964523"
"-, Paris, France","48.88","2.351","Chambre Executive dans un hôtel 4 étoiles","4","1","274","$274","USD","false","nightly","274","274","$274",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/32632321"
"Paris, Île-de-France, France","48.87215","2.32457","Hôtel Vendôme Opéra**** Chambre Double Supérieure","2","1","415","$415","USD","false","nightly","415","415","$415",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/46612980"
"Paris, Île-de-France, France","48.869","2.292","★ Superbe Chambre Confort","2","1","410","$410","USD","false","nightly","410","410","$410",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/45668424"
"Paris, France","48.846","2.325","Chambre Passage Secret 2","2","1","447","$447","USD","false","nightly","447","447","$447",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/24667815"
"Paris, Île-de-France Region, France","48.865","2.34","Junior Suite Boudoir next to ""Louvre Rivoli""","2","1","369","$369","USD","false","nightly","369","369","$369",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/28123614"
"Paris, Île-de-France, France","48.847","2.352","Single Classic Stripe Latin Quarter","1","1","276","$276","USD","false","nightly","276","276","$276",,"USD","0","Room in hotel","4.5","https://www.airbnb.com/rooms/38887093"
"Paris, Île-de-France, France","48.87165","2.3096","Chambre contemporaine","2","1","443","$443","USD","false","nightly","443","443","$443",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35359295"
"Paris, Île-de-France, France","48.842","2.331","Superior Twin Room near the Artistic District","2","1","336","$336","USD","false","nightly","336","336","$336",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/47022328"
"Paris, Île-de-France, France","48.877","2.345","Maison Mère- Luxury room with parisian view for 3","3","1","505","$505","USD","false","nightly","505","505","$505",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/43549809"
"Paris, France","48.86544","2.28516","Cosy and design few steps from Trocadero","2","1","298","$298","USD","false","nightly","298","298","$298",,"USD",,"Room in boutique hotel","5","https://www.airbnb.com/rooms/24924558"
"Paris, Île-de-France Region, France","48.844","2.295","Japanese Suite with Pool Spa and Garden","2","1","391","$391","USD","false","nightly","391","391","$391",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/27355855"
"Paris, Île-de-France, France","48.868","2.335","★ Executive room with street view ★","3","1","290","$290","USD","false","nightly","290","290","$290",,"USD","0","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/48713199"
"Paris, Île-de-France Region, France","48.874","2.344","Nice Room in the 9th arrondissement of Paris","2","1","376","$376","USD","false","nightly","376","376","$376",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/27078886"
"Asnières-sur-Seine, Île-de-France, France","48.9137","2.30671","Peniche C'est La Vie, un moment d'évasion","2","1","348","$348","USD","false","nightly","308","348","$348","40","USD","0","Boat","5","https://www.airbnb.com/rooms/49589808"
"Paris, Île-de-France, France","48.877","2.345","Maison Mère, Cozy bedroom in Paris center for 3","3","1","465","$465","USD","false","nightly","465","465","$465",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/45341947"
"Paris, Île-de-France, France","48.87139","2.32601","Hôtel Folkestone Opéra*** Chambre Single","1","1","395","$395","USD","false","nightly","346","395","$395",,"USD","49","Room in hotel",,"https://www.airbnb.com/rooms/46613662"
"Paris, Île-de-France, France","48.895","2.34539","Logement charmant pour une expérience authentique!","4","1","386","$386","USD","false","nightly","298","386","$386","40","USD","48","Entire rental unit","4.5","https://www.airbnb.com/rooms/43342512"
"Paris, Île-de-France, France","48.87297","2.3438","Habitación Superior en el Hotel Pulitzer Paris","2","1","423","$423","USD","false","nightly","423","423","$423",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/43672906"
"Maisons-Alfort, Île-de-France, France","48.81026","2.4365","L'EDEN,un moment plaisir dépaysant seul ou en duo!","2","1","294","$294","USD","false","nightly","258","294","$294",,"USD","36","Entire townhouse","5","https://www.airbnb.com/rooms/42430674"
"Paris, Île-de-France Region, France","48.87533","2.28982","Près de l'Arc de Triomphe Chambre cosy pour 3 - Petit déjeuner offert","3","1","482","$482","USD","false","nightly","482","482","$482",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/32330157"
"Paris, Île-de-France, France","48.866","2.368","SUITE","4","1","395","$395","USD","false","nightly","395","395","$395",,"USD","0","Room in hotel","4.5","https://www.airbnb.com/rooms/45855795"
"Paris, Île-de-France, France","48.88735979070875","2.378255725771087","Spacious bright apartment with balcony","4","1","264","$264","USD","false","nightly","199","264","$264","65","USD","0","Entire rental unit",,"https://www.airbnb.com/rooms/664517150779252200"
"Paris, Île-de-France, France","48.842","2.331","Superior Room near the Artistic District of Paris","2","1","336","$336","USD","false","nightly","336","336","$336",,"USD","0","Room in hotel","4.5","https://www.airbnb.com/rooms/47022069"
"Paris, Île-de-France, France","48.868","2.335","★ Classic room with courtyard view ★","2","1","270","$270","USD","false","nightly","270","270","$270",,"USD","0","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/48689867"
"Paris, Île-de-France, France","48.87938","2.3387","L'Hôtel idéal jusqu'à 5 pers/chambre. 24H/24.","5","1","346","$346","USD","false","nightly","346","346","$346",,"USD","0","Room in hotel","4.5","https://www.airbnb.com/rooms/17106111"
"Paris, Île-de-France, France","48.885","2.308","★ Spacious Junior Suite with balcony","3","1","273","$273","USD","false","nightly","273","273","$273",,"USD","0","Room in hotel","4.5","https://www.airbnb.com/rooms/53582540"
"Paris, France","48.84115","2.3296","When red goes up to your cheeks","2","1","285","$285","USD","false","nightly","285","285","$285",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/25849890"
"Paris, Île-de-France, France","48.874","2.345","Classic Room in the 9th arrondissement of Paris","2","1","356","$356","USD","false","nightly","356","356","$356",,"USD","0","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/46406488"
"Paris-15E-Arrondissement, Île-de-France, France","48.85186","2.28513","Yooma-Room Family room up to 4","4","1","389","$389","USD","false","nightly","389","389","$389",,"USD",,"Room in hotel","4.5","https://www.airbnb.com/rooms/22023884"
"Paris, France","48.882","2.337","Romantic and Rococo Room","2","1","290","$290","USD","false","nightly","290","290","$290",,"USD",,"Room in boutique hotel","4","https://www.airbnb.com/rooms/27182322"
"Paris, Île-de-France Region, France","48.845","2.342","Cosy room next to ""Le Panthéon""","2","1","359","$359","USD","false","nightly","359","359","$359",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/28303487"
"Paris, Île-de-France Region, France","48.85046","2.39065","Charming Suite in Bastille with #FreeBreakfast","3","1","316","$316","USD","false","nightly","316","316","$316",,"USD",,"Room in boutique hotel","5","https://www.airbnb.com/rooms/30727213"
"Paris, Île-de-France, France","48.87881","2.32118","Light My Fire - Magnifique chambre proche Opéra","2","1","330","$330","USD","false","nightly","330","330","$330",,"USD",,"Room in boutique hotel","5","https://www.airbnb.com/rooms/35214831"
"Paris, France","48.874","2.344","Beautiful room in Paris","2","1","360","$360","USD","false","nightly","360","360","$360",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/25419924"
